phase,1D,2D,3D
2.361809045226130610e-01,2.468702997657387654e-01,2.564640172578824817e-01,2.655747590759137688e-01
2.412060301507537585e-01,2.525875527896026540e-01,2.622814883454059331e-01,2.714862887261721980e-01
2.462311557788944838e-01,2.583147791860213593e-01,2.681048165601917499e-01,2.773988946613041295e-01
2.512562814070351536e-01,2.640521080517195807e-01,2.739327804855379300e-01,2.833114723679902025e-01
2.562814070351758788e-01,2.697982067716889754e-01,2.797652413134262828e-01,2.892236782913598092e-01
2.613065326633166041e-01,2.755526527062463482e-01,2.856012857952042183e-01,2.951345309240940296e-01
2.663316582914572739e-01,2.813149348946124562e-01,2.914401549123908364e-01,3.010435092378169752e-01
2.713567839195979992e-01,2.870838759934567497e-01,2.972814876973561837e-01,3.069497223620150650e-01
2.763819095477387244e-01,2.928596033386809405e-01,3.031240930289262892e-01,3.128524996212855847e-01
2.814070351758793942e-01,2.986406934183581940e-01,3.089678305177868678e-01,3.187512415659453646e-01
2.864321608040201195e-01,3.044268384903550118e-01,3.148115390368261268e-01,3.246452236763935906e-01
2.914572864321607892e-01,3.102173713894390561e-01,3.206546453836233157e-01,3.305337878667822249e-01
2.964824120603015145e-01,3.160112564693954296e-01,3.264965855199550848e-01,3.364161305228666743e-01
3.015075376884422398e-01,3.218085218155004590e-01,3.323363909051003096e-01,3.422914783907888836e-01
3.065326633165829096e-01,3.276077690480458382e-01,3.381738639831697868e-01,3.481591062830470817e-01
3.115577889447236348e-01,3.334087510548732203e-01,3.440077965611371136e-01,3.540185362681286252e-01
3.165829145728643046e-01,3.392106748129561922e-01,3.498378547857655119e-01,3.598688529605154618e-01
3.216080402010050299e-01,3.450126630519491644e-01,3.556631809834754909e-01,3.657095923619457789e-01
3.266331658291457551e-01,3.508145494633713724e-01,3.614830566869725592e-01,3.715396808956893393e-01
3.316582914572864249e-01,3.566150750507618428e-01,3.672970197952009630e-01,3.773586570940458129e-01
3.366834170854271502e-01,3.624139865029530894e-01,3.731039493744575664e-01,3.831657079444312775e-01
3.417085427135678199e-01,3.682104013889022087e-01,3.789035909090642251e-01,3.889604027806837783e-01
3.467336683417085452e-01,3.740035810788693849e-01,3.846949944401014121e-01,3.947418272841548004e-01
3.517587939698492705e-01,3.797931948336677466e-01,3.904776249826520385e-01,4.005094671477525958e-01
3.567839195979899403e-01,3.855781126786215207e-01,3.962508280777922720e-01,4.062622216316820190e-01
3.618090452261306655e-01,3.913580866884565079e-01,4.020137621348902623e-01,4.119998224398033759e-01
3.668341708542713353e-01,3.971321672076484344e-01,4.077660594838219410e-01,4.177215096202478994e-01
3.718592964824120606e-01,4.028997155009702014e-01,4.135067319985475387e-01,4.234267122490836810e-01
3.768844221105527859e-01,4.086602673850977530e-01,4.192353350857866423e-01,4.291148048054870268e-01
3.819095477386934556e-01,4.144128108758938778e-01,4.249510592339169612e-01,4.347849227499987479e-01
3.869346733668341809e-01,4.201570772753399630e-01,4.306531107711538686e-01,4.404365385713561176e-01
3.919597989949749062e-01,4.258920877659697624e-01,4.363411013581254827e-01,4.460691229461312135e-01
3.969849246231155759e-01,4.316172819303152330e-01,4.420141951830109939e-01,4.516820780408384306e-01
4.020100502512563012e-01,4.373320940126256273e-01,4.476719478965440202e-01,4.572755677758920667e-01
4.070351758793969710e-01,4.430356184019677013e-01,4.533135430546486044e-01,4.628494019693438766e-01
4.120603015075376963e-01,4.487275517512826495e-01,4.589384143204159883e-01,4.684028393255762479e-01
4.170854271356784215e-01,4.544069196599641036e-01,4.645459266603196857e-01,4.739355164243397311e-01
4.221105527638190913e-01,4.600732117459285786e-01,4.701353775746632824e-01,4.794468656436379206e-01
4.271356783919598166e-01,4.657257932698408154e-01,4.757065163796426743e-01,4.849362707912033832e-01
4.321608040201004863e-01,4.713638564050997015e-01,4.812589639329463154e-01,4.904032152324694360e-01
4.371859296482412116e-01,4.769870384757091131e-01,4.867922819687113822e-01,4.958466777541670201e-01
4.422110552763819369e-01,4.825944141412852884e-01,4.923058819901212635e-01,5.012665559587942132e-01
4.472361809045226066e-01,4.881854906626614810e-01,4.977991582925491154e-01,5.066621960449805284e-01
4.522613065326633319e-01,4.937595974573976143e-01,5.032715315046080162e-01,5.120332112739744979e-01
4.572864321608040017e-01,4.993160243130195797e-01,5.087223773729785403e-01,5.173789175349093883e-01
4.623115577889447270e-01,5.048542978447314589e-01,5.141511270123106936e-01,5.226987150928361636e-01
4.673366834170854522e-01,5.103736132794701730e-01,5.195571876600069139e-01,5.279920011400840441e-01
4.723618090452261220e-01,5.158734538461051677e-01,5.249399832745101913e-01,5.332586331579020067e-01
4.773869346733668473e-01,5.213531466430847416e-01,5.302988795483588591e-01,5.384980414772133628e-01
4.824120603015075170e-01,5.268120503849085257e-01,5.356331956054483090e-01,5.437099542854866296e-01
4.874371859296482423e-01,5.322496139858687858e-01,5.409425177148681207e-01,5.488943083028274827e-01
4.924623115577889676e-01,5.376651404253233180e-01,5.462263652455534579e-01,5.540527189920286810e-01
4.974874371859296374e-01,5.430580751005581464e-01,5.514841320032626282e-01,5.591856656617413268e-01
5.025125628140703071e-01,5.484277765283416262e-01,5.567153251014291815e-01,5.642928725632223586e-01
5.075376884422110324e-01,5.537736432462337932e-01,5.619194219464991313e-01,5.693741046554510188e-01
5.125628140703517577e-01,5.590950798490456064e-01,5.670958459948414188e-01,5.744310913723056355e-01
5.175879396984924830e-01,5.643914838474179962e-01,5.722442106648850668e-01,5.794697069138767809e-01
5.226130653266332082e-01,5.696622490078397938e-01,5.773638719184177592e-01,5.844904581686112266e-01
5.276381909547738225e-01,5.749067990449305832e-01,5.824543165866348238e-01,5.894930824107125211e-01
5.326633165829145478e-01,5.801245429523183006e-01,5.875152136469352637e-01,5.944771597025177989e-01
5.376884422110552730e-01,5.853148745899554584e-01,5.925463045255778827e-01,5.994431262348354217e-01
5.427135678391959983e-01,5.904772724442570730e-01,5.975511927950256652e-01,6.043909853236663077e-01
5.477386934673367236e-01,5.956110649261270318e-01,6.025366238409460840e-01,6.093204241799651255e-01
5.527638190954774489e-01,6.007157745977607100e-01,6.075031975639305637e-01,6.142309597566677493e-01
5.577889447236180631e-01,6.057907914338120925e-01,6.124534477496492713e-01,6.191223830367036385e-01
5.628140703517587884e-01,6.108355321759308953e-01,6.173880282002056630e-01,6.239939873742008647e-01
5.678391959798995137e-01,6.158495424695691334e-01,6.223070035703970326e-01,6.288455930502103719e-01
5.728643216080402389e-01,6.208384294468557441e-01,6.272103058521755203e-01,6.336762448708718187e-01
5.778894472361809642e-01,6.258097781295198780e-01,6.320974458321660938e-01,6.384862698921441870e-01
5.829145728643215785e-01,6.307631729854235036e-01,6.369680639327561789e-01,6.432761707367073978e-01
5.879396984924623037e-01,6.356981273422033230e-01,6.418217640759260600e-01,6.480506325226287334e-01
5.929648241206030290e-01,6.406142566280059736e-01,6.466580781864421645e-01,6.528119972754087286e-01
5.979899497487437543e-01,6.455108202850968757e-01,6.514765687743444555e-01,6.575599043632968099e-01
6.030150753768844796e-01,6.503876075409922297e-01,6.562768420828446470e-01,6.622939098610269859e-01
6.080402010050250938e-01,6.552440508298923438e-01,6.610584173354608906e-01,6.670137822852937326e-01
6.130653266331658191e-01,6.600831326324538839e-01,6.658215804115350522e-01,6.717190753845496687e-01
6.180904522613065444e-01,6.649071780979440849e-01,6.705702196317273600e-01,6.764094001609435303e-01
6.231155778894472697e-01,6.697157717785250375e-01,6.753095888116232848e-01,6.810843570740778841e-01
6.281407035175879949e-01,6.745084131670884275e-01,6.800393884583190163e-01,6.857434011190064460e-01
6.331658291457286092e-01,6.792846766044198237e-01,6.847591431905628578e-01,6.903864120380934777e-01
6.381909547738693345e-01,6.840441023511216745e-01,6.894685927459831554e-01,6.950128202307211955e-01
6.432160804020100597e-01,6.887862494272387615e-01,6.941671049673041605e-01,6.996225150425469108e-01
6.482412060301507850e-01,6.935128967298487268e-01,6.988544875698715630e-01,7.042148177052616198e-01
6.532663316582915103e-01,6.982328727478345209e-01,7.035302179525160238e-01,7.087895883725863211e-01
6.582914572864321245e-01,7.029467674226768104e-01,7.081939116542075308e-01,7.133461771197689982e-01
6.633165829145728498e-01,7.076541835887304455e-01,7.128452787682274527e-01,7.178847822121230404e-01
6.683417085427135751e-01,7.123546830843132671e-01,7.174836593218670844e-01,7.224044700346600179e-01
6.733668341708543004e-01,7.170477988057702978e-01,7.221089214743967588e-01,7.269055479205218662e-01
6.783919597989950256e-01,7.217331902477821526e-01,7.267204849614141704e-01,7.313869604228706578e-01
6.834170854271356399e-01,7.264103166801060274e-01,7.313181396359121900e-01,7.358490088671707507e-01
6.884422110552763652e-01,7.310788641744474514e-01,7.359014857826029488e-01,7.402909268834401146e-01
6.934673366834170904e-01,7.357383692389500851e-01,7.404700200731242354e-01,7.447129094921273174e-01
6.984924623115578157e-01,7.403883825289760967e-01,7.450236530392639889e-01,7.491142301240765189e-01
7.035175879396985410e-01,7.450286076149865711e-01,7.495616158171838350e-01,7.534949449289338741e-01
7.085427135678391553e-01,7.496584221255726543e-01,7.540839394703313658e-01,7.578543302967483131e-01
7.135678391959798805e-01,7.542776244789149986e-01,7.585900526508395636e-01,7.621925255736494709e-01
7.185929648241206058e-01,7.588856956081444505e-01,7.630795528458158561e-01,7.665090990820395689e-01
7.236180904522613311e-01,7.634822299694908887e-01,7.675523291351196153e-01,7.708038905558048937e-01
7.286432160804020564e-01,7.680669529157247988e-01,7.720076949025382884e-01,7.750766335358337811e-01
7.336683417085426706e-01,7.726391933434715309e-01,7.764457631999338583e-01,7.793268610841542765e-01
7.386934673366833959e-01,7.771988455362175419e-01,7.808658050661121397e-01,7.835546004561753097e-01
7.437185929648241212e-01,7.817453233148072833e-01,7.852677680233479673e-01,7.877594389449176226e-01
7.487437185929648464e-01,7.862782940986822178e-01,7.896512825576713634e-01,7.919414818495263964e-01
7.537688442211055717e-01,7.907974694529504855e-01,7.940158577279999852e-01,7.961001051010596630e-01
7.587939698492462970e-01,7.953021842433671829e-01,7.983615773369086011e-01,8.002355177353355220e-01
7.638190954773869112e-01,7.997923899663048619e-01,8.026875076350170612e-01,8.043468744597158659e-01
7.688442211055276365e-01,8.042674295487897140e-01,8.069938847913341595e-01,8.084348065101314429e-01
7.738693467336683618e-01,8.087270718620622745e-01,8.112801675897416409e-01,8.125117707578861648e-01
7.788944723618090871e-01,8.131709878338777564e-01,8.155461372154564348e-01,8.165927788270869181e-01
7.839195979899498123e-01,8.175985477872471652e-01,8.197917078891772125e-01,8.206767183560337298e-01
7.889447236180904266e-01,8.220097465362128375e-01,8.240161284592455448e-01,8.247646567072410839e-01
7.939698492462311519e-01,8.264038445326491455e-01,8.282197143390437333e-01,8.288552139871303570e-01
7.989949748743718771e-01,8.307807397731663546e-01,8.324016562302032352e-01,8.329491387267613511e-01
8.040201005025126024e-01,8.351400363288048467e-01,8.365620640965316657e-01,8.370461567128555380e-01
8.090452261306533277e-01,8.394811687894540020e-01,8.407088139526113224e-01,8.411467933459553237e-01
8.140703517587939420e-01,8.438041615400722062e-01,8.448595371461473658e-01,8.452505565308774393e-01
8.190954773869346672e-01,8.481081814642861261e-01,8.490146522395858319e-01,8.493576120423238507e-01
8.241206030150753925e-01,8.523932824052352641e-01,8.531731285466837011e-01,8.534673602251175994e-01
8.291457286432161178e-01,8.566589761210574583e-01,8.573354408514686220e-01,8.575798222475576882e-01
8.341708542713568431e-01,8.609047894595657224e-01,8.615009026732469710e-01,8.616946596483243681e-01
